original_name,local_path,source_url,description_url,bytes,mime,source_timestamp
186-nunc_sancte_in_sollemnitatibus.mp3,186-nunc_sancte_in_sollemnitatibus.mp3,https://liberhymnarius.org/images/2/2a/186-nunc_sancte_in_sollemnitatibus.mp3,https://liberhymnarius.org/index.php?title=File:186-nunc_sancte_in_sollemnitatibus.mp3,2071700,audio/mp3,2012-02-11T16:12:26Z
186_Rector_potens_in_dominics.mp3,186_Rector_potens_in_dominics.mp3,https://liberhymnarius.org/images/e/e3/186_Rector_potens_in_dominics.mp3,https://liberhymnarius.org/index.php?title=File:186_Rector_potens_in_dominics.mp3,811743,audio/mp3,2010-09-19T07:01:44Z
187-rector_potens_in_sollemnitatibus.mp3,187-rector_potens_in_sollemnitatibus.mp3,https://liberhymnarius.org/images/5/58/187-rector_potens_in_sollemnitatibus.mp3,https://liberhymnarius.org/index.php?title=File:187-rector_potens_in_sollemnitatibus.mp3,2230316,audio/mp3,2012-02-09T13:34:19Z
"187_Rerum,_Deus_in_dominicis.mp3","187_Rerum,_Deus_in_dominicis.mp3",https://liberhymnarius.org/images/e/e9/187_Rerum%2C_Deus_in_dominicis.mp3,"https://liberhymnarius.org/index.php?title=File:187_Rerum,_Deus_in_dominicis.mp3",827207,audio/mp3,2010-09-19T07:05:45Z
188-lucis_creator_optime.mp3,188-lucis_creator_optime.mp3,https://liberhymnarius.org/images/7/70/188-lucis_creator_optime.mp3,https://liberhymnarius.org/index.php?title=File:188-lucis_creator_optime.mp3,2011825,audio/mp3,2012-01-27T11:36:32Z
188-rerum_deus_in_sollemnitatibus.mp3,188-rerum_deus_in_sollemnitatibus.mp3,https://liberhymnarius.org/images/8/8c/188-rerum_deus_in_sollemnitatibus.mp3,https://liberhymnarius.org/index.php?title=File:188-rerum_deus_in_sollemnitatibus.mp3,2163234,audio/mp3,2012-02-09T13:52:48Z
190_Aeterna_lux.mp3,190_Aeterna_lux.mp3,https://liberhymnarius.org/images/7/7d/190_Aeterna_lux.mp3,https://liberhymnarius.org/index.php?title=File:190_Aeterna_lux.mp3,1016871,audio/mp3,2011-06-12T14:17:31Z
190_Somno_refectis.mp3,190_Somno_refectis.mp3,https://liberhymnarius.org/images/8/87/190_Somno_refectis.mp3,https://liberhymnarius.org/index.php?title=File:190_Somno_refectis.mp3,1343404,audio/mp3,2010-09-22T10:53:31Z
191_Splendor_paternae.mp3,191_Splendor_paternae.mp3,https://liberhymnarius.org/images/7/7f/191_Splendor_paternae.mp3,https://liberhymnarius.org/index.php?title=File:191_Splendor_paternae.mp3,1200257,audio/mp3,2011-06-12T14:17:18Z
"192_Nunc,_Sance_in_memoriis.mp3","192_Nunc,_Sance_in_memoriis.mp3",https://liberhymnarius.org/images/5/5e/192_Nunc%2C_Sance_in_memoriis.mp3,"https://liberhymnarius.org/index.php?title=File:192_Nunc,_Sance_in_memoriis.mp3",817215,audio/mp3,2010-09-09T08:48:13Z
